PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked
1,0,3,0,22,1,0,2
2,1,1,1,38,1,0,0
3,1,3,1,26,0,0,2
4,1,1,1,35,1,0,2
5,0,3,0,35,0,0,2
6,0,3,0,28,0,0,1
7,0,1,0,54,0,0,2
8,0,3,0,2,3,1,2
9,1,3,1,27,0,2,2
10,1,2,1,14,1,0,0
11,1,3,1,4,1,1,2
12,1,1,1,58,0,0,2
13,0,3,0,20,0,0,2
14,0,3,0,39,1,5,2
15,0,3,1,14,0,0,2
16,1,2,1,55,0,0,2
17,0,3,0,2,4,1,1
18,1,2,0,28,0,0,2
19,0,3,1,31,1,0,2
20,1,3,1,28,0,0,0
21,0,2,0,35,0,0,2
22,1,2,0,34,0,0,2
23,1,3,1,15,0,0,1
24,1,1,0,28,0,0,2
25,0,3,1,8,3,1,2
26,1,3,1,38,1,5,2
27,0,3,0,28,0,0,0
28,0,1,0,19,3,2,2
29,1,3,1,28,0,0,1
30,0,3,0,28,0,0,2
31,0,1,0,40,0,0,0
32,1,1,1,28,1,0,0
33,1,3,1,28,0,0,1
34,0,2,0,66,0,0,2
35,0,1,0,28,1,0,0
36,0,1,0,42,1,0,2
37,1,3,0,28,0,0,0
38,0,3,0,21,0,0,2
39,0,3,1,18,2,0,2
40,1,3,1,14,1,0,0
41,0,3,1,40,1,0,2
42,0,2,1,27,1,0,2
43,0,3,0,28,0,0,0
44,1,2,1,3,1,2,0
45,1,3,1,19,0,0,1
46,0,3,0,28,0,0,2
47,0,3,0,28,1,0,1
48,1,3,1,28,0,0,1
49,0,3,0,28,2,0,0
50,0,3,1,18,1,0,2
51,0,3,0,7,4,1,2
52,0,3,0,21,0,0,2
53,1,1,1,49,1,0,0
54,1,2,1,29,1,0,2
55,0,1,0,65,0,1,0
56,1,1,0,28,0,0,2
57,1,2,1,21,0,0,2
58,0,3,0,28,0,0,0
59,1,2,1,5,1,2,2
60,0,3,0,11,5,2,2
61,0,3,0,22,0,0,0
62,1,1,1,38,0,0,2
63,0,1,0,45,1,0,2
64,0,3,0,4,3,2,2
65,0,1,0,28,0,0,0
66,1,3,0,28,1,1,0
67,1,2,1,29,0,0,2
68,0,3,0,19,0,0,2
69,1,3,1,17,4,2,2
70,0,3,0,26,2,0,2
71,0,2,0,32,0,0,2
72,0,3,1,16,5,2,2
73,0,2,0,21,0,0,2
74,0,3,0,26,1,0,0
75,1,3,0,32,0,0,2
76,0,3,0,25,0,0,2
77,0,3,0,28,0,0,2
78,0,3,0,28,0,0,2
79,1,2,0,0,0,2,2
80,1,3,1,30,0,0,2
81,0,3,0,22,0,0,2
82,1,3,0,29,0,0,2
83,1,3,1,28,0,0,1
84,0,1,0,28,0,0,2
85,1,2,1,17,0,0,2
86,1,3,1,33,3,0,2
87,0,3,0,16,1,3,2
88,0,3,0,28,0,0,2
89,1,1,1,23,3,2,2
90,0,3,0,24,0,0,2
91,0,3,0,29,0,0,2
92,0,3,0,20,0,0,2
93,0,1,0,46,1,0,2
94,0,3,0,26,1,2,2
95,0,3,0,59,0,0,2
96,0,3,0,28,0,0,2
97,0,1,0,71,0,0,0
98,1,1,0,23,0,1,0
99,1,2,1,34,0,1,2
100,0,2,0,34,1,0,2
101,0,3,1,28,0,0,2
102,0,3,0,28,0,0,2
103,0,1,0,21,0,1,2
104,0,3,0,33,0,0,2
105,0,3,0,37,2,0,2
106,0,3,0,28,0,0,2
107,1,3,1,21,0,0,2
108,1,3,0,28,0,0,2
109,0,3,0,38,0,0,2
110,1,3,1,28,1,0,1
111,0,1,0,47,0,0,2
112,0,3,1,14,1,0,0
113,0,3,0,22,0,0,2
114,0,3,1,20,1,0,2
115,0,3,1,17,0,0,0
116,0,3,0,21,0,0,2
117,0,3,0,70,0,0,1
118,0,2,0,29,1,0,2
119,0,1,0,24,0,1,0
120,0,3,1,2,4,2,2
121,0,2,0,21,2,0,2
122,0,3,0,28,0,0,2
123,0,2,0,32,1,0,0
124,1,2,1,32,0,0,2
125,0,1,0,54,0,1,2
126,1,3,0,12,1,0,0
127,0,3,0,28,0,0,1
128,1,3,0,24,0,0,2
129,1,3,1,28,1,1,0
130,0,3,0,45,0,0,2
131,0,3,0,33,0,0,0
132,0,3,0,20,0,0,2
133,0,3,1,47,1,0,2
134,1,2,1,29,1,0,2
135,0,2,0,25,0,0,2
136,0,2,0,23,0,0,0
137,1,1,1,19,0,2,2
138,0,1,0,37,1,0,2
139,0,3,0,16,0,0,2
140,0,1,0,24,0,0,0
141,0,3,1,28,0,2,0
142,1,3,1,22,0,0,2
143,1,3,1,24,1,0,2
144,0,3,0,19,0,0,1
145,0,2,0,18,0,0,2
146,0,2,0,19,1,1,2
147,1,3,0,27,0,0,2
148,0,3,1,9,2,2,2
149,0,2,0,36,0,2,2
150,0,2,0,42,0,0,2
151,0,2,0,51,0,0,2
152,1,1,1,22,1,0,2
153,0,3,0,55,0,0,2
154,0,3,0,40,0,2,2
155,0,3,0,28,0,0,2
156,0,1,0,51,0,1,0
157,1,3,1,16,0,0,1
158,0,3,0,30,0,0,2
159,0,3,0,28,0,0,2
160,0,3,0,28,8,2,2
161,0,3,0,44,0,1,2
162,1,2,1,40,0,0,2
163,0,3,0,26,0,0,2
164,0,3,0,17,0,0,2
165,0,3,0,1,4,1,2
166,1,3,0,9,0,2,2
167,1,1,1,28,0,1,2
168,0,3,1,45,1,4,2
169,0,1,0,28,0,0,2
170,0,3,0,28,0,0,2
171,0,1,0,61,0,0,2
172,0,3,0,4,4,1,1
173,1,3,1,1,1,1,2
174,0,3,0,21,0,0,2
175,0,1,0,56,0,0,0
176,0,3,0,18,1,1,2
177,0,3,0,28,3,1,2
178,0,1,1,50,0,0,0
179,0,2,0,30,0,0,2
180,0,3,0,36,0,0,2
181,0,3,1,28,8,2,2
182,0,2,0,28,0,0,0
183,0,3,0,9,4,2,2
184,1,2,0,1,2,1,2
185,1,3,1,4,0,2,2
186,0,1,0,28,0,0,2
187,1,3,1,28,1,0,1
188,1,1,0,45,0,0,2
189,0,3,0,40,1,1,1
190,0,3,0,36,0,0,2
191,1,2,1,32,0,0,2
192,0,2,0,19,0,0,2
193,1,3,1,19,1,0,2
194,1,2,0,3,1,1,2
195,1,1,1,44,0,0,0
196,1,1,1,58,0,0,0
197,0,3,0,28,0,0,1
198,0,3,0,42,0,1,2
199,1,3,1,28,0,0,1
200,0,2,1,24,0,0,2
201,0,3,0,28,0,0,2
202,0,3,0,28,8,2,2
203,0,3,0,34,0,0,2
204,0,3,0,45,0,0,0
205,1,3,0,18,0,0,2
206,0,3,1,2,0,1,2
207,0,3,0,32,1,0,2
208,1,3,0,26,0,0,0
209,1,3,1,16,0,0,1
210,1,1,0,40,0,0,0
211,0,3,0,24,0,0,2
212,1,2,1,35,0,0,2
213,0,3,0,22,0,0,2
214,0,2,0,30,0,0,2
215,0,3,0,28,1,0,1
216,1,1,1,31,1,0,0
217,1,3,1,27,0,0,2
218,0,2,0,42,1,0,2
219,1,1,1,32,0,0,0
220,0,2,0,30,0,0,2
221,1,3,0,16,0,0,2
222,0,2,0,27,0,0,2
223,0,3,0,51,0,0,2
224,0,3,0,28,0,0,2
225,1,1,0,38,1,0,2
226,0,3,0,22,0,0,2
227,1,2,0,19,0,0,2
228,0,3,0,20,0,0,2
229,0,2,0,18,0,0,2
230,0,3,1,28,3,1,2
231,1,1,1,35,1,0,2
232,0,3,0,29,0,0,2
233,0,2,0,59,0,0,2
234,1,3,1,5,4,2,2
235,0,2,0,24,0,0,2
236,0,3,1,28,0,0,2
237,0,2,0,44,1,0,2
238,1,2,1,8,0,2,2
239,0,2,0,19,0,0,2
240,0,2,0,33,0,0,2
241,0,3,1,28,1,0,0
242,1,3,1,28,1,0,1
243,0,2,0,29,0,0,2
244,0,3,0,22,0,0,2
245,0,3,0,30,0,0,0
246,0,1,0,44,2,0,1
247,0,3,1,25,0,0,2
248,1,2,1,24,0,2,2
249,1,1,0,37,1,1,2
250,0,2,0,54,1,0,2
251,0,3,0,28,0,0,2
252,0,3,1,29,1,1,2
253,0,1,0,62,0,0,2
254,0,3,0,30,1,0,2
255,0,3,1,41,0,2,2
256,1,3,1,29,0,2,0
257,1,1,1,28,0,0,0
258,1,1,1,30,0,0,2
259,1,1,1,35,0,0,0
260,1,2,1,50,0,1,2
261,0,3,0,28,0,0,1
262,1,3,0,3,4,2,2
263,0,1,0,52,1,1,2
264,0,1,0,40,0,0,2
265,0,3,1,28,0,0,1
266,0,2,0,36,0,0,2
267,0,3,0,16,4,1,2
268,1,3,0,25,1,0,2
269,1,1,1,58,0,1,2
270,1,1,1,35,0,0,2
271,0,1,0,28,0,0,2
272,1,3,0,25,0,0,2
273,1,2,1,41,0,1,2
274,0,1,0,37,0,1,0
275,1,3,1,28,0,0,1
276,1,1,1,63,1,0,2
277,0,3,1,45,0,0,2
278,0,2,0,28,0,0,2
279,0,3,0,7,4,1,1
280,1,3,1,35,1,1,2
281,0,3,0,65,0,0,1
282,0,3,0,28,0,0,2
283,0,3,0,16,0,0,2
284,1,3,0,19,0,0,2
285,0,1,0,28,0,0,2
286,0,3,0,33,0,0,0
287,1,3,0,30,0,0,2
288,0,3,0,22,0,0,2
289,1,2,0,42,0,0,2
290,1,3,1,22,0,0,1
291,1,1,1,26,0,0,2
292,1,1,1,19,1,0,0
293,0,2,0,36,0,0,0
294,0,3,1,24,0,0,2
295,0,3,0,24,0,0,2
296,0,1,0,28,0,0,0
297,0,3,0,23,0,0,0
298,0,1,1,2,1,2,2
299,1,1,0,28,0,0,2
300,1,1,1,50,0,1,0
301,1,3,1,28,0,0,1
302,1,3,0,28,2,0,1
303,0,3,0,19,0,0,2
304,1,2,1,28,0,0,1
305,0,3,0,28,0,0,2
306,1,1,0,0,1,2,2
307,1,1,1,28,0,0,0
308,1,1,1,17,1,0,0
309,0,2,0,30,1,0,0
310,1,1,1,30,0,0,0
311,1,1,1,24,0,0,0
312,1,1,1,18,2,2,0
313,0,2,1,26,1,1,2
314,0,3,0,28,0,0,2
315,0,2,0,43,1,1,2
316,1,3,1,26,0,0,2
317,1,2,1,24,1,0,2
318,0,2,0,54,0,0,2
319,1,1,1,31,0,2,2
320,1,1,1,40,1,1,0
321,0,3,0,22,0,0,2
322,0,3,0,27,0,0,2
323,1,2,1,30,0,0,1
324,1,2,1,22,1,1,2
325,0,3,0,28,8,2,2
326,1,1,1,36,0,0,0
327,0,3,0,61,0,0,2
328,1,2,1,36,0,0,2
329,1,3,1,31,1,1,2
330,1,1,1,16,0,1,0
331,1,3,1,28,2,0,1
332,0,1,0,45,0,0,2
333,0,1,0,38,0,1,2
334,0,3,0,16,2,0,2
335,1,1,1,28,1,0,2
336,0,3,0,28,0,0,2
337,0,1,0,29,1,0,2
338,1,1,1,41,0,0,0
339,1,3,0,45,0,0,2
340,0,1,0,45,0,0,2
341,1,2,0,2,1,1,2
342,1,1,1,24,3,2,2
343,0,2,0,28,0,0,2
344,0,2,0,25,0,0,2
345,0,2,0,36,0,0,2
346,1,2,1,24,0,0,2
347,1,2,1,40,0,0,2
348,1,3,1,28,1,0,2
349,1,3,0,3,1,1,2
350,0,3,0,42,0,0,2
351,0,3,0,23,0,0,2
352,0,1,0,28,0,0,2
353,0,3,0,15,1,1,0
354,0,3,0,25,1,0,2
355,0,3,0,28,0,0,0
356,0,3,0,28,0,0,2
357,1,1,1,22,0,1,2
358,0,2,1,38,0,0,2
359,1,3,1,28,0,0,1
360,1,3,1,28,0,0,1
361,0,3,0,40,1,4,2
362,0,2,0,29,1,0,0
363,0,3,1,45,0,1,0
364,0,3,0,35,0,0,2
365,0,3,0,28,1,0,1
366,0,3,0,30,0,0,2
367,1,1,1,60,1,0,0
368,1,3,1,28,0,0,0
369,1,3,1,28,0,0,1
370,1,1,1,24,0,0,0
371,1,1,0,25,1,0,0
372,0,3,0,18,1,0,2
373,0,3,0,19,0,0,2
374,0,1,0,22,0,0,0
375,0,3,1,3,3,1,2
376,1,1,1,28,1,0,0
377,1,3,1,22,0,0,2
378,0,1,0,27,0,2,0
379,0,3,0,20,0,0,0
380,0,3,0,19,0,0,2
381,1,1,1,42,0,0,0
382,1,3,1,1,0,2,0
383,0,3,0,32,0,0,2
384,1,1,1,35,1,0,2
385,0,3,0,28,0,0,2
386,0,2,0,18,0,0,2
387,0,3,0,1,5,2,2
388,1,2,1,36,0,0,2
389,0,3,0,28,0,0,1
390,1,2,1,17,0,0,0
391,1,1,0,36,1,2,2
392,1,3,0,21,0,0,2
393,0,3,0,28,2,0,2
394,1,1,1,23,1,0,0
395,1,3,1,24,0,2,2
396,0,3,0,22,0,0,2
397,0,3,1,31,0,0,2
398,0,2,0,46,0,0,2
399,0,2,0,23,0,0,2
400,1,2,1,28,0,0,2
401,1,3,0,39,0,0,2
402,0,3,0,26,0,0,2
403,0,3,1,21,1,0,2
404,0,3,0,28,1,0,2
405,0,3,1,20,0,0,2
406,0,2,0,34,1,0,2
407,0,3,0,51,0,0,2
408,1,2,0,3,1,1,2
409,0,3,0,21,0,0,2
410,0,3,1,28,3,1,2
411,0,3,0,28,0,0,2
412,0,3,0,28,0,0,1
413,1,1,1,33,1,0,1
414,0,2,0,28,0,0,2
415,1,3,0,44,0,0,2
416,0,3,1,28,0,0,2
417,1,2,1,34,1,1,2
418,1,2,1,18,0,2,2
419,0,2,0,30,0,0,2
420,0,3,1,10,0,2,2
421,0,3,0,28,0,0,0
422,0,3,0,21,0,0,1
423,0,3,0,29,0,0,2
424,0,3,1,28,1,1,2
425,0,3,0,18,1,1,2
426,0,3,0,28,0,0,2
427,1,2,1,28,1,0,2
428,1,2,1,19,0,0,2
429,0,3,0,28,0,0,1
430,1,3,0,32,0,0,2
431,1,1,0,28,0,0,2
432,1,3,1,28,1,0,2
433,1,2,1,42,1,0,2
434,0,3,0,17,0,0,2
435,0,1,0,50,1,0,2
436,1,1,1,14,1,2,2
437,0,3,1,21,2,2,2
438,1,2,1,24,2,3,2
439,0,1,0,64,1,4,2
440,0,2,0,31,0,0,2
441,1,2,1,45,1,1,2
442,0,3,0,20,0,0,2
443,0,3,0,25,1,0,2
444,1,2,1,28,0,0,2
445,1,3,0,28,0,0,2
446,1,1,0,4,0,2,2
